"Scenario Name","Peak Density","Peak Risk","High-Risk Area Percentage","Average Velocity","Total Overshoot Count","Total Overshoot Magnitude","Max Overshoot Magnitude","Total Evacuation Time (s)"
"Festival Bottleneck","4.18","0.339","0.00%","0.996","0","0.0000","0.0000","150.00"
"Stadium Rush","3.84","0.276","0.00%","1.000","0","0.0000","0.0000","150.00"
